review;sentiment
"Kualitas smart locker dengan barcode recognition ini sangat buruk, sering rusak dan tidak bisa digunakan.";Negative
Locker ini sangat berguna untuk menyimpan barang.;Positive
Sistem verifikasinya lambat, bikin bete.;Negative
Sistemnya lambat, kesel banget.;Negative
barcode recognition-nya lumayan akurat, tapi ada kalanya gagal.;Neutral
RFID membantu, tapi kadang tidak terbaca.;Neutral
Kadang RFID tidak terbaca dengan baik.;Negative
Loker ini nggak reliable, sering error.;Negative
Pengenalan wajahnya suka error, bikin repot.;Negative
RFID sering nggak kebaca, males.;Negative
barcode recognition kadang-kadang tidak bekerja.;Neutral
RFID sering bekerja, tapi kadang gagal terbaca.;Neutral
Teknologi barcode recognition sangat akurat.;Positive
barcode recognition kadang tidak berfungsi dengan baik.;Negative
Penggunaan locker ini sangat memudahkan saya.;Positive
barcode recognition-nya sering enggak akurat;Negative
oker ini praktis, tapi kadang susah dibuka.;Neutral
Sistem RFID tidak buruk dan bisa diandalkan;Positive
Lokernya sangat nyaman dan efisien;Positive
RFID-nya suka enggak kebaca, nyusahin banget;Negative
Sistemnya lambat banget, enggak efisien;Negative
Barcode recognition-nya sangat bagus dan akurat;Positive
Teknologi ini bagus, tapi kadang membingungkan.;Neutral
Sistemnya sering error;Negative
barcode recognition-nya sering ngadat;Negative
Lokernya engga rusak dan sangat kuat;Positive
RFID-nya suka gagal;Negative
Saya tidak yakin dengan kehandalan barcode recognition.;Neutral
Barcode-nya berfungsi dengan sangat baik dan cepat;Positive
Kadang barcode recognition tidak berfungsi dengan baik.;Negative
RFID-nya lambat banget;Negative
RFID sering bermasalah;Negative
Locker ini sangat aman dan mudah digunakan.;Positive
Proses setup buruk, ribet banget;Negative
Penggunaan RFID sangat efisien dan cepat.;Positive
barcode recognition-nya ribet;Negative
RFID-nya cukup bagus, tapi kadang ngelag;Neutral
Lokernya sangat bermanfaat untuk penyimpanan;Positive
Sistemnya cukup user-friendly, tapi ada beberapa kendala;Neutral
Loker ini sering macet, nggak praktis.;Negative
RFID-nya berfungsi dengan sempurna setiap saat;Positive
RFID-nya cukup responsif, tapi kadang error;Neutral
Loker ini enggak bisa diandelin;Negative
Sistemnya sering crash;Negative
Sistemnya cukup efisien, tapi kadang ngestuck;Neutral
barcode recognition-nya cukup akurat, tapi kadang lambat;Neutral
Pengenalan wajahnya sering nggak akurat, bikin ribet.;Negative
Loker ini banyak masalahnya, nggak reliable.;Negative
RFID sering ngaco;Negative
Akses menggunakan RFID sangat mudah dan cepat.;Positive
Lokernya buruk, banyak bug;Negative
Lokernya buruk, engga efisien;Negative
Teknologi barcode recognition sangat membantu akses ke locker.;Positive
Locker ini sangat efisien dan mudah digunakan.;Positive
Harga yang terlalu mahal untuk kualitas yang sangat buruk pada barcode recognition.;Negative
Smart locker dengan barcode recognition ini sangat efisien dalam penggunaan waktu.;Positive
Saya merasa penggunaan smart locker dengan barcode recognition ini cukup nyaman.;Neutral
Smart locker dengan barcode recognition ini tidak layak untuk digunakan.;Negative
Kualitas smart locker dengan barcode recognition sangat baik dan sesuai dengan harganya.;Positive
Pengenalan wajahnya sering nggak akurat, jadi repot.;Negative
RFID suka nggak respon, capek deh.;Negative
"Pengalaman pake smart locker ini cukup baik, barcode recognition-nya kadang error.";Neutral
Manualnya buruk, engga jelas;Negative
Hardware buruk, cepat panas;Negative
"Smart locker ini biasa aja, barcode recognition-nya oke.";Neutral
"Kualitas smart locker dengan barcode recognition ini cukup memadai, meski tidak sempurna.";Neutral
Lokernya buruk, engga nyaman;Negative
Koneksi buruk, sering putus;Negative
Sangat berguna untuk menyimpan barang-barang berharga dengan barcode recognition.;Positive
Smart locker dengan barcode recognition ini sangat membantu dalam menjaga keamanan barang-barang saya.;Positive
Smart locker dengan barcode recognition ini sangat tidak praktis dan sulit digunakan.;Negative
"Pake barcode recognition, kadang lancar kadang enggak.";Neutral
"Smart locker ini cukup oke, tapi kadang barcode recognition-nya error.";Neutral
"Smart locker ini biasa aja, barcode recognition-nya lumayan.";Neutral
RFID-nya berfungsi dengan baik setiap saat;Positive
"Susah banget pake barcode recognition-nya, sering gagal.";Negative
Pengenalan wajahnya cukup baik, tapi lambat.;Neutral
RFID-nya sering nggak respon, jadi ribet.;Negative
Penyimpanan barang jadi lebih aman;Positive
Pengenalan wajahnya suka salah, nggak praktis.;Negative
"Kualitas barcode recognition di smart locker ini kurang, sering nggak berfungsi.";Negative
Loker ini sering macet, nggak praktis sama sekali.;Negative
"Ini locker modern banget, aman pake barcode recognition.";Positive
"Pake barcode recognition, smart locker ini jadi makin aman.";Positive
Proses verifikasinya lama banget, males nunggu.;Negative
"Secara keseluruhan oke, meski barcode recognition-nya bisa lebih baik.";Neutral
"Smart locker ini cocok buat yang suka praktis, barcode recognition-nya keren.";Positive
"Locker ini pas banget buat jaga barang, barcode recognition-nya mantap.";Positive
Susah banget bukanya, padahal udah sesuai instruksi.;Negative
Barcode recognition-nya tidak jelek sama sekali;Positive
RFID-nya sangat bisa diandalkan;Positive
Loker ini banyak masalahnya, nggak recommended.;Negative
Sistemnya lambat, bikin kesel.;Negative
Pintu loker sering macet, ngeselin banget.;Negative
Lokernya sangat bermanfaat dan praktis;Positive
"barcode recognition-nya sering error, kecewa banget.";Negative
Lokernya nyaman dipakai setiap hari;Positive
"Smart locker ini kurang bagus, barcode recognition-nya sering bermasalah.";Negative
"Smart locker ini bener-bener keren, fiturnya barcode recognition juga canggih!";Positive
"barcode recognition-nya standar, nggak ada yang spesial.";Neutral
Layanannya jelek, engga profesional;Negative
Barang jadi lebih aman dengan barcode recognition di smart locker ini.;Positive
Lokernya jelek, engga aman;Negative
Desainnya menarik dan teknologi barcode recognition-nya bagus.;Positive
RFID sering kali butuh waktu lama untuk mengenali kartu;Neutral
Sistem ini cukup praktis dan aman menggunakan teknologi rfid.;Positive
RFID jelek, sering gagal;Negative
"Pengalaman menggunakan smart locker ini tidak begitu menyenangkan; sering bermasalah.";Negative
RFID-nya bekerja dengan baik tapi biasa aja;Neutral
"Keamanan smart locker ini sangat baik; saya merasa aman.";Positive
"rfid sering kali tidak akurat; perlu perbaikan.";Negative
Smart locker memberikan solusi praktis untuk penyimpanan di perpustakaan.;Positive
Kadang-kadang scanner rfid tidak berfungsi dengan baik.;Neutral
Saya merasa barang saya lebih aman dengan smart locker ini.;Positive
Sistem sering mengalami masalah teknis;Negative
Smart locker ini sangat inovatif dan memudahkan.;Positive
Barcode-nya lumayan bisa diandalkan;Neutral
Penggunaan rfid sering kali membuat frustrasi karena sering gagal.;Negative
Menggunakan smart locker ini sangat praktis dan cepat.;Positive
"Sistem sering down; menyebabkan ketidaknyamanan.";Negative
Sistemnya cukup bisa diandalkan, tapi biasa aja;Neutral
Sistem locker ini sangat aman dan nyaman digunakan.;Positive
barcode recognition sering tidak mendeteksi wajah saya.;Negative
Penggunaan RFID sangat efisien.;Positive
Keamanan locker perlu ditingkatkan lebih baik lagi.;Neutral
Teknologi barcode recognition sangat memuaskan.;Positive
Sistem RFID-nya cukup standar;Neutral
Pengalaman pakai barcode gak ada yang spesial;Neutral
Kadang RFID tidak berfungsi dengan sempurna.;Negative
Locker ini sangat membantu dalam penyimpanan barang.;Positive
Lokernya biasa aja, gak terlalu mengesankan;Neutral
barcode recognition sering gagal mendeteksi wajah saya, terutama saat kondisi cahaya redup.;Negative
Sistem RFID membuat akses lebih cepat dan mudah.;Positive
Lokernya gak terlalu mengesankan;Neutral
barcode recognition sering tidak mendeteksi wajah saya dengan baik.;Negative
Penggunaan RFID sangat membantu dalam akses locker.;Positive
Sistemnya cukup standar;Neutral
barcode recognition sering gagal mendeteksi wajah saat kondisi cahaya redup.;Negative
Smart locker ini memberikan solusi bagus untuk penyimpanan di perpustakaan.;Positive
Pengalaman pakai loker ini ya biasa;Neutral
Loker ini sering bikin kesel;Negative
RFID bekerja tapi membutuhkan waktu yang tepat.;Neutral
barcode recognition-nya enggak akurat;Negative
Sering harus menunggu lama karena rfid nya error.;Negative
Keamanan tambahan yang diberikan smart locker sangat membantu.;Positive
Pengenalan wajah kadang tidak langsung berhasil.;Neutral
Sistemnya sering mengalami masalah teknis pada sistem.;Negative
Saya merasa nyaman menggunakan smart locker ini.;Positive
"Pengalaman kurang baik; rfid scannernya sering gagal.";Negative
"Konsep bagus; tapi implementasi perlu diperbaiki.";Neutral
Puas dengan keamanan yang diberikan smart locker.;Positive
rfid tidak selalu akurat dalam mengenali kartu.;Negative
Smart locker ini sangat berguna dan mudah digunakan.;Positive
RFID tidak selalu dapat membaca kartu dengan cepat.;Neutral
Layanan support-nya buruk, engga membantu;Negative
Terkadang harus mencoba beberapa kali sebelum loker terbuka.;Neutral
Sistem pengenalan wajah kadang mengalami gangguan.;Neutral
rfid sering gagal saat digunakan.;Negative
Sistem smart locker membantu di perpustakaan.;Positive
Keamanannya buruk, gampang dibobol;Negative
Kadang-kadang rfid butuh waktu lama.;Neutral
Pengenalan wajah terkadang memerlukan beberapa percobaan.;Neutral
Sistem berfungsi baik, tetapi kadang ada jeda.;Neutral
Pengoperasiannya buruk, ribet;Negative
RFID tidak selalu langsung bekerja.;Neutral
Verifikasi wajah memakan waktu lebih lama dari yang diharapkan.;Neutral
Lokernya buruk, sering macet;Negative
Sistem pengenalan wajah bisa lebih cepat.;Neutral
Sering banget error, jadi kesel;Negative
"Desain smart locker ini sangat user-friendly dan mudah digunakan.";Positive
Desain smart locker ini sangat user-friendly dan mudah digunakan.;Positive
Saya sangat senang dengan kemudahan menggunakan smart locker ini.;Positive
Lokernya gampang rusak;Negative
RFID bekerja tapi terkadang tidak responsif.;Neutral
Terkadang perlu beberapa kali percobaan sebelum berhasil.;Neutral
barcode recognition-nya lambat, enggak praktis;Negative
RFID sering gagal, jadi ribet;Negative
Sistemnya bikin pusing, sering bermasalah;Negative
Loker sering butuh reset ulang.;Neutral
Sistem pengenalan wajah kadang lambat.;Neutral
RFID memerlukan penyesuaian.;Neutral
"Saya sering mengalami masalah teknis dengan smart locker ini.";Negative
"Smart locker ini memberikan solusi praktis untuk penyimpanan.";Positive
"barcode recognition di smart locker ini cukup baik.";Neutral
"Pengalaman menggunakan smart locker ini sangat mengecewakan.";Negative
"Smart locker ini sangat praktis dan efisien.";Positive
"Saya merasa tidak puas dengan layanan smart locker ini.";Negative
"Smart locker ini sangat membantu dalam kehidupan sehari-hari.";Positive
"barcode recognition di smart locker ini sering tidak berfungsi dengan baik.";Negative
"Saya merasa puas dengan kinerja smart locker ini.";Positive
Proses pengenalan wajah bisa lebih cepat.;Neutral
RFID sering tidak responsif.;Neutral
Verifikasi wajah memerlukan waktu lebih lama dari yang diharapkan.;Neutral
Sistem pengenalan wajah bisa lebih akurat.;Neutral
RFID-nya sering nggak respon, nggak nyaman.;Negative
Pengenalan wajahnya suka salah, bikin kesel.;Negative
Loker ini nggak reliable, sering macet.;Negative
barcode recognition-nya super responsif, mantap;Positive
RFID-nya top, cepat dan akurat;Positive
Sistem berfungsi baik, tetapi ada penundaan.;Neutral
barcode recognition kadang-kadang tidak responsif.;Neutral
Pintu loker sering macet, ribet banget.;Negative
Lokernya stylish dan modern, suka;Positive
Sistemnya keren, gampang banget;Positive
Sistem verifikasinya sering lama, bikin repot.;Negative
Proses verifikasi wajah memakan waktu lebih lama.;Neutral
Pengenalan wajah kadang-kadang tidak langsung berhasil.;Neutral
Verifikasi wajah bisa lebih cepat.;Neutral
Lokernya enggak lambat buat buka;Positive
Lokernya enggak ngelag;Positive
RFID-nya nggak akurat, bikin ribet.;Negative
Proses verifikasinya lama banget, bikin bete.;Negative
Sangat nyaman dengan RFID;Positive
Locker ini lumayan, meski tidak sempurna.;Neutral
Fitur barcode-nya sangat berguna untuk penyimpanan;Positive
Pintu loker nggak mau kebuka, ngeselin banget.;Negative
Pengenalan wajahnya suka error, ribet deh.;Negative
Barcode-nya tidak rusak;Positive
Verifikasi wajah memerlukan waktu lebih lama.;Neutral
Loker sering butuh restart.;Neutral
Proses pemindaian RFID tidak selalu langsung berhasil.;Neutral
Loker ini bagus banget;Positive
Pengenalan wajah sering tidak berfungsi.;Negative
Sistemnya cukup baik, tapi ada beberapa bug kecil;Neutral
Sistem sering tidak mengenali kartu RFID.;Negative
Lokernya berfungsi sesuai harapan;Positive
Verifikasi wajah memerlukan waktu yang lebih lama dari yang diharapkan.;Neutral
Sistem pengenalan wajah bisa lebih cepat dan akurat.;Neutral
Pintu loker sering tidak terbuka.;Negative
Proses verifikasi wajah sangat lambat.;Negative
Lokernya oke sih, tapi kadang agak ribet;Neutral
Lokernya enggak masalah;Positive
Lokernya enggak bikin pusing;Positive
Loker sering membutuhkan restart setelah beberapa kali penggunaan.;Neutral
RFID sering memerlukan beberapa kali percobaan.;Neutral
Pintu loker tidak bisa terbuka.;Negative
Loker tidak merespons ketika menggunakan kartu RFID.;Negative
barcode recognition-nya lumayan, tapi ada kalanya gagal deteksi;Neutral
RFID-nya sering kebaca, tapi kadang miss juga;Neutral
Kartu RFID tidak terbaca.;Negative
RFID sering tidak berfungsi.;Negative
Barcode-nya lumayan berfungsi;Neutral
Loker tidak terbuka saat menggunakan RFID.;Negative
Lokernya stylish dan modern;Positive
barcode recognition-nya kadang cepat, kadang lambat;Neutral
Lumayan, meski ada kendala kecil.;Neutral
Pintu loker nggak mau kebuka, ribet banget!;Negative
Pengalaman pakai loker ini biasa-biasa aja;Neutral
Lokernya standar aja;Neutral
Sistem barcode-nya gak terlalu istimewa;Neutral
Sistem wajahnya suka error, bikin kesel deh.;Negative
RFID-nya mantap, cepat dan akurat;Positive
RFID-nya sering nggak kebaca, susah banget.;Negative
RFID-nya responsif, cepat dan akurat;Positive
RFID-nya berfungsi normal;Neutral
Sistemnya keren, puas pake;Positive
barcode recognition-nya cepat banget, enggak ribet;Positive
Locker ini lumayan, meskipun ada masalah kecil.;Neutral
Loker ini ribet dipake;Negative
barcode recognition-nya cepat banget, suka deh;Positive
Sistemnya top, simpel dan efisien;Positive
Lokernya gak jelek tapi gak bagus juga;Neutral
Pengenalan wajah sering gagal mengenali.;Negative
Sistem tidak merespons kartu RFID.;Negative
Gak ada yang istimewa dari sistem ini;Neutral
Sistem barcode-nya sangat nyaman digunakan;Positive
Proses verifikasinya oke, tapi lambat.;Neutral
Lokernya nyaman dipake, recommended;Positive
Lumayan, meski kadang lambat.;Neutral
RFID-nya cukup baik, tapi sering memerlukan beberapa kali percobaan.;Neutral
Lokernya modern dan praktis banget;Positive
Sistem pengenalan wajahnya cukup baik, tapi lambat.;Neutral
Pintu loker sering tidak terbuka dengan RFID.;Negative
Barcode-nya aman dan bisa diandalkan;Positive
Kartu RFID tidak selalu terbaca.;Negative
Lokernya bagus dan engga gampang rusak;Positive
Sistem pengenalan wajah sering tidak akurat.;Negative
RFID sering memerlukan beberapa kali percobaan.;Negative
barcode recognition-nya suka eror;Negative
Sangat nyaman dan praktis dengan RFID;Positive
RFID-nya lambat respon;Negative
Kadang harus dicoba beberapa kali untuk berhasil.;Neutral
RFID-nya cukup baik, tapi tidak selalu responsif.;Neutral
RFID-nya suka ngadat;Negative
Sistemnya enggak stabil;Negative
Sistemnya top, enggak ribet;Positive
Sistemnya bikin kesel;Negative
Sistem pengenalan wajahnya kadang lambat.;Neutral
Lumayan, meskipun ada sedikit kendala.;Neutral
RFID sering enggak baca;Negative
Loker ini sering crash;Negative
RFID-nya super responsif, mantap;Positive
Pengenalan wajahnya oke, tapi bisa lebih akurat.;Neutral
Proses verifikasinya cukup baik, tapi lambat.;Neutral
Enggak praktis sama sekali;Negative
Loker ini sering rusak;Negative
Lumayan, meskipun ada sedikit jeda.;Neutral
Lokernya enggak ribet, praktis banget;Positive
RFID-nya keren, cepat dan akurat;Positive
barcode recognition-nya suka ngelag;Negative
RFID sering enggak responsif;Negative
Sistemnya cukup efisien, tapi ada kalanya error.;Neutral
barcode recognition cukup baik, meski kadang lambat.;Neutral
barcode recognition-nya sering ngehang;Negative
RFID sering enggak kerja;Negative
Sistemnya bikin pusing;Negative
Locker ini lumayan, meski tidak selalu bekerja dengan baik.;Neutral
Prosesnya lambat, tapi berhasil.;Neutral
RFID-nya sering fail;Negative
RFID membantu akses, tapi kadang tidak berfungsi.;Neutral
Loker ini mudah digunakan, tapi kadang susah diakses.;Neutral
barcode recognition-nya ngaco terus;Negative
Sistemnya canggih, puas deh;Positive
barcode recognition-nya akurat banget, puas;Positive
Lokernya praktis banget, recommended;Positive
Lokernya jelek, engga praktis sama sekali;Negative
Lokernya jelek, lambat banget;Negative
Pengenalan wajahnya cukup akurat, tapi lambat.;Neutral
Prosesnya oke, tapi kadang lambat.;Neutral
